sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
The new orders index rose to 52.2 percent from 51.9 percent in May.	The New Orders Index rose by 0.3 percentage points from 51.9 percent in May to 52.2 percent in June.	[2, 6, 7, 0, 0, 0, 0]	[7, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 2, 2, 2, 0, 7, 7, 7, 7, 0, 0, 0, 0, 0, 7, 7, 7, 0, 0, 0]	['The', 'new', 'orders', 'index', 'rose', 'to', '52.2', 'percent', 'from', '51.9', 'percent', 'in', 'May', '.']	['The', 'New', 'Orders', 'Index', 'rose', 'by', '0.3', 'percentage', 'points', 'from', '51.9', 'percent', 'in', 'May', 'to', '52.2', 'percent', 'in', 'June', '.\n']	9e683a9ee1164f6883c29af0eabf3349
Tuition at the six two-year community colleges will leap by $300, to $2,800.	And tuition at two-year community colleges jumps $300, or 12 percent, to $2,800.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7]	[7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 7, 7, 7, 0, 0, 0, 0]	['Tuition', 'at', 'the', 'six', 'two-year', 'community', 'colleges', 'will', 'leap', 'by', '$', '300', ',', 'to', '$', '2,800', '.']	['And', 'tuition', 'at', 'two-year', 'community', 'colleges', 'jumps', '$', '300', ',', 'or', '12', 'percent', ',', 'to', '$', '2,800', '.\n']	4cc09d76c22e4ee39f1e1a725afd69b0
In fact, 10 million shares of the sale went to an unidentified charitable trust - which promptly sold them.	Turner said he transferred 10 million additional shares to a charitable trust, which also liquidated them.	[2, 4, 5, 6, 7, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 0, 7, 7, 2, 7, 7]	[7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['In', 'fact', ',', '10', 'million', 'shares', 'of', 'the', 'sale', 'went', 'to', 'an', 'unidentified', 'charitable', 'trust', '-', 'which', 'promptly', 'sold', 'them', '.']	['Turner', 'said', 'he', 'transferred', '10', 'million', 'additional', 'shares', 'to', 'a', 'charitable', 'trust', ',', 'which', 'also', 'liquidated', 'them', '.\n']	46a00ee82c3540eb8741cbf58daab4fd
US military officials say rotor wash from the helicopter might have blown down the banner.	"US officials said downward ""rotor wash"" generated by the hovering helicopter stripped the flag from the tower."	[1, 2, 5, 6, 7, 0, 0]	[7, 7, 7, 1, 7, 7, 2, 7, 7, 1, 1, 1, 1, 7, 2, 7]	[0, 0, 1, 7, 0, 0, 0, 0, 2, 2, 0, 7, 0, 1, 0, 2, 7, 7, 7, 0]	['US', 'military', 'officials', 'say', 'rotor', 'wash', 'from', 'the', 'helicopter', 'might', 'have', 'blown', 'down', 'the', 'banner', '.']	"['US', 'officials', 'said', 'downward', '``', 'rotor', 'wash', ""''"", 'generated', 'by', 'the', 'hovering', 'helicopter', 'stripped', 'the', 'flag', 'from', 'the', 'tower', '.\n']"	fc4e574453234edabb0cc34a100e8586
Later in the day, a standoff developed between French soldiers and a Hema battlewagon that attempted to pass the UN compound.	French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 2, 7, 7, 7, 7, 7, 7]	[0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 6, 6, 7, 6, 6, 6, 6]	['Later', 'in', 'the', 'day', ',', 'a', 'standoff', 'developed', 'between', 'French', 'soldiers', 'and', 'a', 'Hema', 'battlewagon', 'that', 'attempted', 'to', 'pass', 'the', 'UN', 'compound', '.']	['French', 'soldiers', 'later', 'threatened', 'to', 'open', 'fire', 'on', 'a', 'Hema', 'battlewagon', 'that', 'tried', 'to', 'pass', 'near', 'the', 'UN', 'compound', '.\n']	0d10bebae7f64f6080f34d6c2f7ac8d1
"""Smallpox is not the only threat to the public's health, and vaccination is not the only tool for smallpox preparedness,"" Strom said."	"""Smallpox is not the only threat to the nation's health, and vaccination is not the only tool for preparedness,"" his introductory statement says."	[1, 2, 6, 7, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 1, 7]	"['``', 'Smallpox', 'is', 'not', 'the', 'only', 'threat', 'to', 'the', 'public', ""'s"", 'health', ',', 'and', 'vaccination', 'is', 'not', 'the', 'only', 'tool', 'for', 'smallpox', 'preparedness', ',', ""''"", 'Strom', 'said', '.']"	"['``', 'Smallpox', 'is', 'not', 'the', 'only', 'threat', 'to', 'the', 'nation', ""'s"", 'health', ',', 'and', 'vaccination', 'is', 'not', 'the', 'only', 'tool', 'for', 'preparedness', ',', ""''"", 'his', 'introductory', 'statement', 'says', '.\n']"	436a3caedc4c4dda8a349fc11b78ed48
He planned Monday to formally announce the effort alongside several union presidents.	He plans to announce the effort formally tomorrow in Cincinnati alongside several union presidents.	[1, 6, 7, 0, 0, 0, 0]	[7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 1, 0, 0, 0, 0, 7, 7, 7, 7, 0, 0, 0, 0, 0]	['He', 'planned', 'Monday', 'to', 'formally', 'announce', 'the', 'effort', 'alongside', 'several', 'union', 'presidents', '.']	['He', 'plans', 'to', 'announce', 'the', 'effort', 'formally', 'tomorrow', 'in', 'Cincinnati', 'alongside', 'several', 'union', 'presidents', '.\n']	a876a6a57a074fa4873ca1f2dcb999bc
Netanyahu and his advisers say the changes are necessary to permit Israel to compete successfully in the global marketplace and attract investment.	The government says the changes are necessary if Israel is to compete successfully in the global marketplace and attract investment.	[2, 5, 6, 0, 0, 0, 0]	[2, 2, 2, 2, 0, 6, 6, 6, 6, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[2, 2, 0, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['Netanyahu', 'and', 'his', 'advisers', 'say', 'the', 'changes', 'are', 'necessary', 'to', 'permit', 'Israel', 'to', 'compete', 'successfully', 'in', 'the', 'global', 'marketplace', 'and', 'attract', 'investment', '.']	['The', 'government', 'says', 'the', 'changes', 'are', 'necessary', 'if', 'Israel', 'is', 'to', 'compete', 'successfully', 'in', 'the', 'global', 'marketplace', 'and', 'attract', 'investment', '.\n']	e5356cf858844c0a936d8eac0949e9d1
Duisenberg said in an interview with Bloomberg News' German television channel released earlier on Wednesday it was too early to discuss further interest rate cuts for the euro zone.	European Central Bank President Wim Duisenberg said in a televised interview that it was too soon to discuss further interest rate cuts in the euro zone.	[2, 6, 7, 0, 0, 0, 0]	[2, 7, 7, 0, 0, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7]	[7, 7, 7, 7, 2, 2, 7, 7, 0, 6, 0, 0, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7]	"['Duisenberg', 'said', 'in', 'an', 'interview', 'with', 'Bloomberg', 'News', ""'"", 'German', 'television', 'channel', 'released', 'earlier', 'on', 'Wednesday', 'it', 'was', 'too', 'early', 'to', 'discuss', 'further', 'interest', 'rate', 'cuts', 'for', 'the', 'euro', 'zone', '.']"	['European', 'Central', 'Bank', 'President', 'Wim', 'Duisenberg', 'said', 'in', 'a', 'televised', 'interview', 'that', 'it', 'was', 'too', 'soon', 'to', 'discuss', 'further', 'interest', 'rate', 'cuts', 'in', 'the', 'euro', 'zone', '.\n']	937b4504b3ea484cbb239e425aafb941
He says information released about a tarot card left at one shooting scene may have prolonged the spree by cutting off fragile communications with the sniper.	He says the release of a tarot card left at a shooting scene may have prolonged the spree by cutting off fragile communications with the sniper.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 0, 1, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 0, 1, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['He', 'says', 'information', 'released', 'about', 'a', 'tarot', 'card', 'left', 'at', 'one', 'shooting', 'scene', 'may', 'have', 'prolonged', 'the', 'spree', 'by', 'cutting', 'off', 'fragile', 'communications', 'with', 'the', 'sniper', '.']	['He', 'says', 'the', 'release', 'of', 'a', 'tarot', 'card', 'left', 'at', 'a', 'shooting', 'scene', 'may', 'have', 'prolonged', 'the', 'spree', 'by', 'cutting', 'off', 'fragile', 'communications', 'with', 'the', 'sniper', '.\n']	9f1fda4822484f00b619b4bfa5c3561b
